Year,Applications,ApplicationChange,AdmittedStudents,AdmittedChange,EnrolledStudents,YieldPercent,YieldChange,1YrRetTotal,1YrRetSoC,1YrRetInt,1YrRetWH/NH,HAROne,HARTwo,HARThree,HARFour,HARFive,4YrGradTot,6YrGradTot,4YrGradSoC,4YrGradInt,4YrGradWH/NH,6YrGradSoc,6YrGradInt,6YrGradWH/NH,NumSoC,NumInt,NumWNH,DiversitySoC,DiversityInt,DiversityWNH,DiversityHis,DiversityBL,DiversityAN,DiversityAS,DiversityHP,DiversityMR,FundTotal
2000,,,,,,,,,,,,,,,,,0.47,0.63,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,0.57,0.71,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,0.53,0.67,,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,0.55,0.64,,,,,,,,,,,,,,,,,,,
2004,,,,,,,,0.82,,,,,,,,,0.55,0.69,,,,,,,,,,,,,,,,,,,
2005,,,,,,,,0.79,0.784313725,0.888888889,0.785932722,,,,,,0.51,0.63,0.509803922,0.666666667,0.574923547,0.568627451,0.666666667,0.645259939,51,9,327,,,,,,,,,,
2006,,,,,,,,0.78,0.745454545,1,0.795454545,,,,,,0.54,0.64,0.545454545,1,0.598484848,0.6,1,0.643939394,55,9,264,,,,,,,,,,
2007,,,,,,,,0.79,0.793650794,0.933333333,0.779605263,,,,,,0.56,0.66,0.650793651,0.866666667,0.611842105,0.650793651,0.866666667,0.654605263,63,15,304,,,,,,,,,,5091402.58
2008,,,,,,,,0.87,0.857142857,0.882352941,0.861952862,,,,,,0.63,0.74,0.696428571,0.588235294,0.683501684,0.75,0.705882353,0.744107744,56,17,297,,,,,,,,,,5889032.68
2009,2441,0,1587,0,375,0.236,0,0.83,0.794520548,0.833333333,0.855769231,,,,,,0.62,0.69,0.630136986,0.583333333,0.615384615,0.67,0.67,0.71,73,12,208,,,,,,,,,,3800763
2010,2519,0.031954117,1839,0.15879017,427,0.232,-0.016949153,0.78,0.738461538,0.956521739,0.773519164,,,,,,0.6,,0.446153846,0.695652174,0.609756098,,,,65,23,287,0.195068891,0.058738216,0.746192893,0.084118927,0.032632342,0.006526468,0.035532995,0,0.036258158,7358277
2011,2388,-0.052004764,1791,-0.026101142,365,0.204,-0.120689655,0.82,0.786885246,0.870967742,0.837004405,,,,,,0.47,,0.44,0.52,0.48,,,,61,31,227,0.207898659,0.069299553,0.722801788,0.102086438,0.031296572,0.003725782,0.023099851,0.000745156,0.046944858,5038443
2012,2828,0.184254606,1809,0.010050251,358,0.198,-0.029411765,0.81,0.779411765,0.8,0.827868852,,,,,,,,,,,,,,68,20,244,0.219939117,0.066210046,0.713850837,0.108066971,0.03348554,0.00152207,0.02587519,0,0.050989346,10243574
2013,2817,-0.003889675,2001,0.106135987,394,0.197,-0.005050505,0.78,0.833333333,0.9375,0.758865248,,,,,,,,,,,,,,72,16,282,0.212253829,0.067833698,0.719912473,0.10138585,0.029175784,0.001458789,0.022611233,0.000729395,0.056892779,6307554
2014,2671,-0.051828186,1762,-0.11944028,328,0.186,-0.055837563,0.82,0.77,0.78,0.82,0.21754386,0.346783626,0.219883041,0.146783626,0.069005848,,,,,,,,,,,,0.228527607,0.057515337,0.713957055,0.101993865,0.040644172,0.000766871,0.023773006,0.000766871,0.060582822,10417760
2015,2042,-0.235492325,1415,-0.196935301,368,0.26,0.397849462,,,,,0.212795549,0.445757997,0.250347705,0.087621697,0.003477051,,,,,,,,,,,,0.251851852,0.054814815,0.693333333,0.115555556,0.042962963,0,0.024444444,0.000740741,0.068148148,13727749
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6901280
